##########################################################
Permission changes from API version 22 to 23
##########################################################
ADDED:
	PERMISSION:                            android.permission.DELETE_CACHE_FILES    OF_TYPE:    core 	 FROM_LEVEL: signatureOrSystem 	 TO_LEVEL:         signature
	PERMISSION:                      android.permission.MODIFY_PARENTAL_CONTROLS    OF_TYPE:    core 	 FROM_LEVEL: signatureOrSystem 	 TO_LEVEL:         signature
	PERMISSION:                     android.permission.MODIFY_NETWORK_ACCOUNTING    OF_TYPE:    core 	 FROM_LEVEL: signatureOrSystem 	 TO_LEVEL:         signature
	PERMISSION:                                  android.permission.GET_ACCOUNTS    OF_TYPE:    core 	 FROM_LEVEL:            normal 	 TO_LEVEL:         dangerous
	PERMISSION:                          android.permission.CHANGE_NETWORK_STATE    OF_TYPE:    core 	 FROM_LEVEL:            normal 	 TO_LEVEL:         signature
	PERMISSION:                              android.permission.DISABLE_KEYGUARD    OF_TYPE:    core 	 FROM_LEVEL:         dangerous 	 TO_LEVEL:            normal
	PERMISSION:                               android.permission.USE_CREDENTIALS    OF_TYPE:    core 	 FROM_LEVEL:         dangerous 	 TO_LEVEL:            normal
	PERMISSION:                        android.permission.SUBSCRIBED_FEEDS_WRITE    OF_TYPE:    core 	 FROM_LEVEL:         dangerous 	 TO_LEVEL:            normal
	PERMISSION:                          android.permission.READ_USER_DICTIONARY    OF_TYPE:    core 	 FROM_LEVEL:         dangerous 	 TO_LEVEL:            normal
	PERMISSION:                         android.permission.READ_INSTALL_SESSIONS    OF_TYPE:    core 	 FROM_LEVEL:         signature 	 TO_LEVEL:            normal
	PERMISSION:                                  android.permission.MANAGE_USERS    OF_TYPE:    core 	 FROM_LEVEL: signatureOrSystem 	 TO_LEVEL:         signature
	PERMISSION:                android.permission.CHANGE_COMPONENT_ENABLED_STATE    OF_TYPE:    core 	 FROM_LEVEL: signatureOrSystem 	 TO_LEVEL:         signature
	PERMISSION:                       android.permission.ACCESS_CACHE_FILESYSTEM    OF_TYPE:    core 	 FROM_LEVEL: signatureOrSystem 	 TO_LEVEL:         signature
	PERMISSION:                       android.permission.BIND_KEYGUARD_APPWIDGET    OF_TYPE:    core 	 FROM_LEVEL: signatureOrSystem 	 TO_LEVEL:         signature
	PERMISSION:                                        android.permission.BACKUP    OF_TYPE:    core 	 FROM_LEVEL: signatureOrSystem 	 TO_LEVEL:         signature
	PERMISSION:                                   android.permission.CONTROL_VPN    OF_TYPE:    core 	 FROM_LEVEL: signatureOrSystem 	 TO_LEVEL:         signature
	PERMISSION:                               android.permission.BLUETOOTH_ADMIN    OF_TYPE:    core 	 FROM_LEVEL:         dangerous 	 TO_LEVEL:            normal
	PERMISSION:                             android.permission.LOCATION_HARDWARE    OF_TYPE:    core 	 FROM_LEVEL: signatureOrSystem 	 TO_LEVEL:         signature
	PERMISSION:                             android.permission.GET_APP_OPS_STATS    OF_TYPE:    core 	 FROM_LEVEL: signatureOrSystem 	 TO_LEVEL:         signature
	PERMISSION:                                  android.permission.CRYPT_KEEPER    OF_TYPE:    core 	 FROM_LEVEL: signatureOrSystem 	 TO_LEVEL:         signature
	PERMISSION:                           android.permission.PROVIDE_TRUST_AGENT    OF_TYPE:    core 	 FROM_LEVEL: signatureOrSystem 	 TO_LEVEL:         signature
	PERMISSION:                   android.permission.CAMERA_DISABLE_TRANSMIT_LED    OF_TYPE:    core 	 FROM_LEVEL: signatureOrSystem 	 TO_LEVEL:         signature
	PERMISSION:                           android.permission.WRITE_SOCIAL_STREAM    OF_TYPE:    core 	 FROM_LEVEL:         dangerous 	 TO_LEVEL:            normal
	PERMISSION:                         android.permission.READ_EXTERNAL_STORAGE    OF_TYPE:    core 	 FROM_LEVEL:            normal 	 TO_LEVEL:         dangerous
	PERMISSION:                               android.permission.WRITE_GSERVICES    OF_TYPE:    core 	 FROM_LEVEL: signatureOrSystem 	 TO_LEVEL:         signature
	PERMISSION:                              android.permission.INSTALL_PACKAGES    OF_TYPE:    core 	 FROM_LEVEL: signatureOrSystem 	 TO_LEVEL:         signature
	PERMISSION:                         android.permission.AUTHENTICATE_ACCOUNTS    OF_TYPE:    core 	 FROM_LEVEL:         dangerous 	 TO_LEVEL:            normal
	PERMISSION:                   android.permission.RECEIVE_EMERGENCY_BROADCAST    OF_TYPE:    core 	 FROM_LEVEL: signatureOrSystem 	 TO_LEVEL:         signature
	PERMISSION:                               android.permission.CLEAR_APP_CACHE    OF_TYPE:    core 	 FROM_LEVEL:         dangerous 	 TO_LEVEL:         signature
	PERMISSION:                          android.permission.CAPTURE_VIDEO_OUTPUT    OF_TYPE:    core 	 FROM_LEVEL: signatureOrSystem 	 TO_LEVEL:         signature
	PERMISSION:                     android.permission.PERFORM_CDMA_PROVISIONING    OF_TYPE:    core 	 FROM_LEVEL: signatureOrSystem 	 TO_LEVEL:         signature
	PERMISSION:                                     android.permission.READ_LOGS    OF_TYPE:    core 	 FROM_LEVEL: signatureOrSystem 	 TO_LEVEL:         signature
	PERMISSION:                                    android.permission.ACCESS_MTP    OF_TYPE:    core 	 FROM_LEVEL: signatureOrSystem 	 TO_LEVEL:         signature
	PERMISSION:                  android.permission.BROADCAST_NETWORK_PRIVILEGED    OF_TYPE:    core 	 FROM_LEVEL: signatureOrSystem 	 TO_LEVEL:         signature
	PERMISSION:                                 android.permission.GLOBAL_SEARCH    OF_TYPE:    core 	 FROM_LEVEL: signatureOrSystem 	 TO_LEVEL:         signature
	PERMISSION:                           android.permission.WRITE_MEDIA_STORAGE    OF_TYPE:    core 	 FROM_LEVEL: signatureOrSystem 	 TO_LEVEL:         signature
	PERMISSION:                             android.permission.SET_ALWAYS_FINISH    OF_TYPE:    core 	 FROM_LEVEL: signatureOrSystem 	 TO_LEVEL:         signature
--------------------------------------------
CHANGED_MANIFEST_TYPE:
--------------------------------------------
